iter	Passed	Remaining
0	9	1846
1	14	1484
2	16	1115
3	19	934
4	21	847
5	23	775
6	27	748
7	31	745
8	32	699
9	35	674
10	37	650
11	39	624
12	41	603
13	62	824
14	65	806
15	67	778
16	72	776
17	78	790
18	82	787
19	87	785
20	91	779
21	95	771
22	99	764
23	102	753
24	106	744
25	109	732
26	112	719
27	115	707
28	117	695
29	120	683
30	123	672
31	126	662
32	128	651
33	131	641
34	133	630
35	136	621
36	138	610
37	140	600
38	142	589
39	144	579
40	147	570
41	149	562
42	151	553
43	153	545
44	155	537
45	158	529
46	160	521
47	162	514
48	164	507
49	166	499
50	168	492
51	170	486
52	172	479
53	174	472
54	176	466
55	178	460
56	181	454
57	183	448
58	185	442
59	187	437
60	189	432
61	193	430
62	195	425
63	197	420
64	200	415
65	202	410
66	204	406
67	208	404
68	210	399
69	212	394
70	214	390
71	217	385
72	219	381
73	221	377
74	224	373
75	233	380
76	235	376
77	239	374
78	241	369
79	243	365
80	245	360
81	247	356
82	249	351
83	251	347
84	253	343
85	255	339
86	258	335
87	261	332
88	263	328
89	265	324
90	268	321
91	270	318
92	272	313
93	274	309
94	276	305
95	279	303
96	282	300
97	285	296
98	287	293
99	289	289
100	292	287
101	296	284
102	298	280
103	300	277
104	303	274
105	305	270
106	307	267
107	310	264
108	313	261
109	315	258
110	317	254
111	319	251
112	323	248
113	326	246
114	329	243
115	331	240
116	334	236
117	336	233
118	338	230
119	340	227
120	344	225
121	346	221
122	349	218
123	351	215
124	354	212
125	356	209
126	359	206
127	361	203
128	363	199
129	365	196
130	367	193
131	368	189
132	370	186
133	372	183
134	374	180
135	376	177
136	378	174
137	380	170
138	382	167
139	384	164
140	386	161
141	388	158
142	390	155
143	392	152
144	394	149
145	395	146
146	398	143
147	399	140
148	401	137
149	403	134
150	405	131
151	407	128
152	409	125
153	411	122
154	412	119
155	414	116
156	416	114
157	418	111
158	420	108
159	422	105
160	424	102
161	426	99
162	427	97
163	429	94
164	431	91
165	433	88
166	435	86
167	437	83
168	439	80
169	441	77
170	443	75
171	445	72
172	447	69
173	448	67
174	450	64
175	452	61
176	454	59
177	456	56
178	458	53
179	459	51
180	461	48
181	463	45
182	464	43
183	466	40
184	468	38
185	470	35
186	472	32
187	475	30
188	476	27
189	478	25
190	480	22
191	482	20
192	484	17
193	486	15
194	488	12
195	489	9
196	491	7
197	493	4
198	495	2
199	497	0
