iter	Logloss
0	0.6733175418
1	0.6520953262
2	0.6336146779
3	0.6151718049
4	0.598030976
5	0.5821309136
6	0.5654428077
7	0.551442582
8	0.5370666344
9	0.5226420709
10	0.5098654723
11	0.4993545095
12	0.489374565
13	0.4783142837
14	0.46856459
15	0.4648420112
16	0.454712706
17	0.4443270428
18	0.4367820705
19	0.4304163037
20	0.420416248
21	0.4122824328
22	0.4075931295
23	0.4009240461
24	0.3939191051
25	0.3866874348
26	0.3804349724
27	0.374686614
28	0.3680238817
29	0.3643182659
30	0.3573863863
31	0.3537524645
32	0.349353417
33	0.3447180726
34	0.3386901959
35	0.331918147
36	0.3276060725
37	0.3246401503
38	0.3204991688
39	0.3151437542
40	0.3106509276
41	0.3070484325
42	0.3034063664
43	0.3003464249
44	0.2970428992
45	0.2939437703
46	0.2904144246
47	0.2871442942
48	0.2834512482
49	0.2804225766
50	0.2768763456
51	0.2733637769
52	0.2704313851
53	0.2673721059
54	0.2637302728
55	0.2613271399
56	0.2583405992
57	0.2560187669
58	0.254325994
59	0.2527022235
60	0.2494649316
61	0.2471788822
62	0.2447943368
63	0.2418779996
64	0.2403917173
65	0.2378809338
66	0.2355727641
67	0.2336611879
68	0.2312911439
69	0.229293374
70	0.2279799267
71	0.2258518285
72	0.2236843186
73	0.2216184429
74	0.2191399157
75	0.2169937382
76	0.2135940573
77	0.212033777
78	0.210106499
79	0.2087854162
80	0.2068672035
81	0.2052374421
82	0.204290007
83	0.2025127063
84	0.2011247438
85	0.1990577185
86	0.197715731
87	0.1957184995
88	0.1936772077
89	0.1924154613
90	0.1915144848
91	0.1899370862
92	0.1886046011
93	0.1874125745
94	0.1857592073
95	0.1843441769
96	0.182632812
97	0.1816854325
98	0.1803495116
99	0.1792066155
100	0.1779129906
101	0.1760812595
102	0.1749218642
103	0.1736290971
104	0.1723094198
105	0.1711019926
106	0.1696866915
107	0.1685988321
108	0.1675810199
109	0.166341463
110	0.1650396317
111	0.163946903
112	0.16311821
113	0.1620284461
114	0.1606395852
115	0.1592370112
116	0.1582761699
117	0.1578547137
118	0.1568018245
119	0.1559284129
120	0.1551535002
121	0.1542833452
122	0.1534040985
123	0.1525215105
124	0.1513830024
125	0.1502415311
126	0.1493579968
127	0.1481082195
128	0.1471600487
129	0.1463593035
130	0.145716125
131	0.1449798243
132	0.1440386463
133	0.1427428074
134	0.1423426034
135	0.14154023
136	0.1406896527
137	0.1396865298
138	0.1388327104
139	0.1383044643
140	0.1377197099
141	0.1368491183
142	0.1352853099
143	0.1342391441
144	0.1328524393
145	0.1320930862
146	0.131323236
147	0.1309030733
148	0.1305291646
149	0.130083752
150	0.1291314946
151	0.1287164244
152	0.127707378
153	0.1266424837
154	0.1253991869
155	0.1248753992
156	0.1245087785
157	0.1238516613
158	0.1232867467
159	0.122468653
160	0.1215592235
161	0.1203710505
162	0.120087294
163	0.1194886317
164	0.1186221501
165	0.1181253052
166	0.1174359122
167	0.1167476092
168	0.1158910197
169	0.1152172901
170	0.1148545428
171	0.1144240665
172	0.1139242017
173	0.1132201522
174	0.1124686371
175	0.1119430896
176	0.1112850331
177	0.1104962177
178	0.1098777296
179	0.1093291946
180	0.1091698257
181	0.1081735281
182	0.1076138025
183	0.1071867685
184	0.1064392026
185	0.1058988333
186	0.1051457125
187	0.1044061382
188	0.103855501
189	0.1030070158
190	0.1024477991
191	0.1018551917
192	0.1010494667
193	0.1004629303
194	0.09981415671
195	0.09941920433
196	0.09864024664
197	0.09794406502
198	0.09723792214
199	0.09650922851
